lat,lng,date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
32.25,-7.9375,2026-09-19,35.7,18.4,0.9,17,9.0,32.0,80
32.25,-7.9375,2026-09-20,37.7,22.5,0.0,18,21.1,37.4,2
30.1875,-9.5,2026-09-14,40.1,27.2,0.0,5,18.7,29.5,3
30.1875,-9.5,2026-09-15,36.6,25.8,0.0,5,22.4,36.7,2
30.1875,-9.5,2026-09-16,30.4,22.1,0.0,0,27.9,44.6,1
30.1875,-9.5,2026-09-17,26.2,20.5,0.0,2,26.7,42.8,2
30.1875,-9.5,2026-09-18,26.6,20.1,0.0,3,22.7,37.8,2
30.1875,-9.5,2026-09-19,31.2,19.9,0.3,0,17.7,33.5,2
30.1875,-9.5,2026-09-20,37.8,25.3,0.0,0,22.5,37.4,1
30.375,-9.5,2026-09-14,39.4,26.6,0.0,3,18.9,40.3,3
30.375,-9.5,2026-09-15,35.4,25.7,0.0,3,15.9,34.6,2
30.375,-9.5,2026-09-16,32.4,22.3,0.0,0,19.0,40.0,1
30.375,-9.5,2026-09-17,26.9,20.4,0.0,0,17.3,40.3,2
30.375,-9.5,2026-09-18,26.4,19.6,0.0,5,17.3,38.2,2
30.375,-9.5,2026-09-19,37.9,20.2,0.0,5,16.3,40.0,3
30.375,-9.5,2026-09-20,40.2,25.3,0.0,0,16.9,38.5,1
30.3125,-9.4375,2026-09-14,40.3,25.1,0.0,5,20.0,42.8,3
30.3125,-9.4375,2026-09-15,37.2,25.3,0.0,5,19.8,41.4,3
30.3125,-9.4375,2026-09-16,30.9,21.4,0.0,0,24.3,49.3,1
30.3125,-9.4375,2026-09-17,27.2,20.5,0.0,2,18.4,39.6,2
30.3125,-9.4375,2026-09-18,27.3,19.5,0.0,6,19.4,41.8,3
30.3125,-9.4375,2026-09-19,33.8,19.8,0.0,5,16.2,34.9,3
30.3125,-9.4375,2026-09-20,38.5,23.8,0.0,0,21.6,45.4,1
32.0625,-7.375,2026-09-14,39.6,24.9,0.0,3,22.7,38.9,3
32.0625,-7.375,2026-09-15,37.9,24.4,0.1,3,22.3,38.2,3
32.0625,-7.375,2026-09-16,34.0,19.2,0.0,0,19.2,32.8,0
32.0625,-7.375,2026-09-17,30.1,17.0,0.0,5,15.5,26.6,2
32.0625,-7.375,2026-09-18,31.6,17.3,0.0,15,13.5,23.4,2
32.0625,-7.375,2026-09-19,35.1,18.5,0.6,10,12.2,31.7,80
32.0625,-7.375,2026-09-20,37.3,20.3,0.0,10,12.5,21.2,3
33.1875,-8.5625,2026-09-14,32.3,21.8,0.0,0,17.5,27.7,1
33.1875,-8.5625,2026-09-15,28.5,21.5,0.0,0,20.4,32.0,45
33.1875,-8.5625,2026-09-16,25.8,21.1,0.0,0,22.2,35.6,2
33.1875,-8.5625,2026-09-17,25.7,19.2,0.0,0,17.0,26.6,3
33.1875,-8.5625,2026-09-18,25.8,18.9,0.0,0,21.8,35.6,45
33.1875,-8.5625,2026-09-19,27.6,20.4,0.0,2,19.6,36.7,45
33.1875,-8.5625,2026-09-20,30.3,21.1,0.0,0,18.9,35.3,45
33.875,-6.3125,2026-09-14,38.7,25.4,0.0,0,19.3,39.2,1
33.875,-6.3125,2026-09-15,33.4,21.9,0.0,0,19.4,38.9,3
33.875,-6.3125,2026-09-16,28.7,19.0,0.0,0,19.6,39.6,2
33.875,-6.3125,2026-09-17,27.0,16.3,0.0,0,14.5,29.9,3
33.875,-6.3125,2026-09-18,30.1,15.2,0.0,3,15.5,37.1,3
33.875,-6.3125,2026-09-19,34.9,18.8,0.0,3,14.1,33.1,3
33.875,-6.3125,2026-09-20,38.2,20.8,0.0,3,18.1,38.2,3
30.375,-9.1875,2026-09-14,41.7,24.5,0.0,5,23.3,44.3,3
30.375,-9.1875,2026-09-15,40.7,24.8,0.0,5,24.2,47.9,2
30.375,-9.1875,2026-09-16,34.6,21.3,0.0,0,27.3,51.5,0
30.375,-9.1875,2026-09-17,29.3,19.1,0.0,2,25.8,48.6,2
30.375,-9.1875,2026-09-18,29.2,18.1,0.0,3,24.3,46.4,1
30.375,-9.1875,2026-09-19,35.1,18.7,0.0,3,17.8,31.7,2
30.375,-9.1875,2026-09-20,40.4,24.3,0.0,0,28.8,50.0,2
34.9375,-2.3125,2026-09-14,27.4,18.8,0.0,0,16.1,33.5,2
34.9375,-2.3125,2026-09-15,27.0,17.8,0.0,0,13.4,28.8,1
34.9375,-2.3125,2026-09-16,31.4,16.5,0.0,0,13.0,28.8,1
34.9375,-2.3125,2026-09-17,26.6,20.0,0.0,8,15.8,35.6,3
34.9375,-2.3125,2026-09-18,26.4,17.7,0.0,10,17.7,39.2,3
34.9375,-2.3125,2026-09-19,28.0,19.1,0.0,6,13.6,25.2,3
34.9375,-2.3125,2026-09-20,28.2,19.9,0.0,3,12.2,23.4,2
33.8125,-6.8125,2026-09-14,37.4,22.6,0.0,0,18.1,36.0,1
33.8125,-6.8125,2026-09-15,31.1,19.6,0.0,0,18.7,37.4,1
33.8125,-6.8125,2026-09-16,26.8,18.6,0.0,0,20.6,41.4,2
33.8125,-6.8125,2026-09-17,26.4,17.1,0.0,0,15.8,31.7,3
33.8125,-6.8125,2026-09-18,28.1,15.0,0.0,3,18.3,37.4,45
33.8125,-6.8125,2026-09-19,32.4,16.5,0.0,5,15.5,33.1,3
33.8125,-6.8125,2026-09-20,36.7,20.5,0.0,5,20.4,39.2,0
31.9375,-4.4375,2026-09-14,36.5,25.1,0.1,3,18.1,37.1,3
31.9375,-4.4375,2026-09-15,32.9,24.9,0.0,15,17.5,34.2,3
31.9375,-4.4375,2026-09-16,33.0,21.7,0.0,3,21.7,43.2,2
31.9375,-4.4375,2026-09-17,32.8,21.1,0.0,28,14.3,42.5,3
31.9375,-4.4375,2026-09-18,33.2,22.4,0.0,38,11.2,24.5,3
31.9375,-4.4375,2026-09-19,31.1,22.4,0.0,30,17.7,30.2,3
31.9375,-4.4375,2026-09-20,33.0,21.6,0.0,11,10.7,21.2,1
